code,id,market,flag
688311,1,SH,False
688310,1,SH,False
688309,1,SH,False
688308,1,SH,False
688307,1,SH,False
688306,1,SH,False
688305,1,SH,False
688303,1,SH,False
688302,1,SH,False
688301,1,SH,False
688300,1,SH,False
688299,1,SH,False
688298,1,SH,False
688297,1,SH,False
688296,1,SH,False
688295,1,SH,False
688293,1,SH,False
688292,1,SH,False
688291,1,SH,False
688290,1,SH,False
688289,1,SH,False
688288,1,SH,False
688287,1,SH,False
688286,1,SH,False
688285,1,SH,False
688283,1,SH,False
688282,1,SH,False
688281,1,SH,False
688280,1,SH,False
688279,1,SH,False
688278,1,SH,False
688277,1,SH,False
688276,1,SH,False
688275,1,SH,False
688273,1,SH,False
688272,1,SH,False
688271,1,SH,False
688270,1,SH,False
688269,1,SH,False
688268,1,SH,False
688267,1,SH,False
688266,1,SH,False
688265,1,SH,False
688262,1,SH,False
688261,1,SH,False
688260,1,SH,False
688259,1,SH,False
688258,1,SH,False
688257,1,SH,False
688256,1,SH,False
688255,1,SH,False
688253,1,SH,False
688252,1,SH,False
688251,1,SH,False
688249,1,SH,False
688248,1,SH,False
688247,1,SH,False
688246,1,SH,False
688244,1,SH,False
688239,1,SH,False
688238,1,SH,False
688237,1,SH,False
688236,1,SH,False
688235,1,SH,False
688234,1,SH,False
688233,1,SH,False
688232,1,SH,False
688231,1,SH,False
688230,1,SH,False
688229,1,SH,False
688228,1,SH,False
688227,1,SH,False
688226,1,SH,False
688225,1,SH,False
688223,1,SH,False
688222,1,SH,False
688221,1,SH,False
688220,1,SH,False
688219,1,SH,False
688218,1,SH,False
688217,1,SH,False
688216,1,SH,False
688215,1,SH,False
688213,1,SH,False
688212,1,SH,False
688211,1,SH,False
688210,1,SH,False
688209,1,SH,False
688208,1,SH,False
688207,1,SH,False
688206,1,SH,False
688205,1,SH,False
688203,1,SH,False
688202,1,SH,False
688201,1,SH,False
688200,1,SH,False
688199,1,SH,False
688198,1,SH,False
688197,1,SH,False
688196,1,SH,False
688195,1,SH,False
688193,1,SH,False
688192,1,SH,False
688191,1,SH,False
688190,1,SH,False
688189,1,SH,False
688188,1,SH,False
688187,1,SH,False
688186,1,SH,False
688185,1,SH,False
688184,1,SH,False
688183,1,SH,False
688182,1,SH,False
688181,1,SH,False
688180,1,SH,False
688179,1,SH,False
688178,1,SH,False
688177,1,SH,False
688176,1,SH,False
688175,1,SH,False
688173,1,SH,False
688172,1,SH,False
688171,1,SH,False
688170,1,SH,False
688169,1,SH,False
688168,1,SH,False
688167,1,SH,False
688166,1,SH,False
688165,1,SH,False
688163,1,SH,False
688162,1,SH,False
688161,1,SH,False
688160,1,SH,False
688159,1,SH,False
688158,1,SH,False
688157,1,SH,False
688156,1,SH,False
688155,1,SH,False
688153,1,SH,False
688152,1,SH,False
688151,1,SH,False
688150,1,SH,False
688148,1,SH,False
688147,1,SH,False
688146,1,SH,False
688143,1,SH,False
688141,1,SH,False
688139,1,SH,False
688138,1,SH,False
688137,1,SH,False
688136,1,SH,False
688135,1,SH,False
688133,1,SH,False
688132,1,SH,False
688131,1,SH,False
688130,1,SH,False
688129,1,SH,False
688128,1,SH,False
688127,1,SH,False
688126,1,SH,False
688125,1,SH,False
688123,1,SH,False
